epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,21363.4,1.08837,0.64298,1.41736,0.73148,0.73512,0.76579,0.56553,1.02642,0.54347,1.46009,0.007921,0.007921,0.007921
44,21856.6,1.08903,0.64166,1.41772,0.73194,0.73685,0.76726,0.56684,1.02611,0.54238,1.45847,0.0078715,0.0078715,0.0078715
45,22351.8,1.08701,0.64104,1.41449,0.7435,0.73649,0.77059,0.56944,1.02512,0.53949,1.45695,0.007822,0.007822,0.007822
46,22845.7,1.08364,0.63375,1.4081,0.75847,0.72976,0.77346,0.57209,1.02454,0.53681,1.457,0.0077725,0.0077725,0.0077725
47,23339.4,1.08178,0.63303,1.411,0.75584,0.73009,0.77476,0.5735,1.02424,0.53564,1.45743,0.007723,0.007723,0.007723
48,23833.4,1.0812,0.63088,1.40698,0.75708,0.73053,0.77741,0.57525,1.02409,0.5345,1.45706,0.0076735,0.0076735,0.0076735
49,24327.4,1.08155,0.63018,1.41082,0.76309,0.72964,0.77968,0.57776,1.02328,0.53342,1.4563,0.007624,0.007624,0.007624
50,24820.8,1.07942,0.63061,1.41122,0.76915,0.73119,0.78076,0.57903,1.0227,0.53244,1.45519,0.0075745,0.0075745,0.0075745
51,25314.2,1.0752,0.62612,1.40492,0.76158,0.73436,0.78137,0.57878,1.02301,0.53106,1.45526,0.007525,0.007525,0.007525
52,25807.6,1.07487,0.62511,1.40508,0.76682,0.73118,0.78283,0.57997,1.02265,0.53014,1.45449,0.0074755,0.0074755,0.0074755
53,26301.1,1.07493,0.62446,1.40571,0.76578,0.73176,0.78318,0.58077,1.02258,0.52919,1.45439,0.007426,0.007426,0.007426
54,26794.7,1.07506,0.62286,1.40531,0.76245,0.73175,0.78405,0.58192,1.02221,0.52841,1.45395,0.0073765,0.0073765,0.0073765
55,27288.6,1.07064,0.61834,1.39999,0.75912,0.73819,0.7849,0.58249,1.02197,0.52763,1.45332,0.007327,0.007327,0.007327
56,27781.3,1.06706,0.61439,1.39619,0.74761,0.74276,0.78427,0.58311,1.02159,0.52659,1.45273,0.0072775,0.0072775,0.0072775
57,28274.5,1.07188,0.61222,1.40227,0.75645,0.73477,0.78443,0.58352,1.02087,0.52552,1.45196,0.007228,0.007228,0.007228
58,28768.3,1.06973,0.61399,1.39787,0.75348,0.73615,0.78443,0.58408,1.02013,0.52443,1.45125,0.0071785,0.0071785,0.0071785
59,29261.2,1.0694,0.61483,1.39436,0.75468,0.73386,0.78471,0.58383,1.01963,0.52361,1.45069,0.007129,0.007129,0.007129
60,29753.4,1.06315,0.60569,1.39352,0.7633,0.72823,0.78578,0.58503,1.01896,0.52295,1.44999,0.0070795,0.0070795,0.0070795
61,30247,1.06421,0.6098,1.39615,0.77356,0.71796,0.78625,0.58595,1.01853,0.52247,1.44955,0.00703,0.00703,0.00703
62,30740.1,1.0609,0.6053,1.39229,0.7507,0.7399,0.78688,0.58659,1.01816,0.52181,1.44905,0.0069805,0.0069805,0.0069805
63,31233.8,1.06231,0.60337,1.39626,0.76516,0.73077,0.78764,0.58701,1.01769,0.52118,1.44868,0.006931,0.006931,0.006931
64,31726.6,1.06243,0.60792,1.39469,0.75699,0.73857,0.78828,0.58781,1.01738,0.52061,1.44837,0.0068815,0.0068815,0.0068815
65,32219.1,1.05661,0.60086,1.39013,0.75441,0.74207,0.78891,0.58823,1.01707,0.52015,1.44803,0.006832,0.006832,0.006832
66,32712.8,1.05825,0.59923,1.38887,0.75515,0.74105,0.78928,0.58837,1.01686,0.51951,1.44783,0.0067825,0.0067825,0.0067825
67,33205.9,1.05739,0.59801,1.39152,0.75705,0.74016,0.7896,0.58915,1.01654,0.51885,1.44767,0.006733,0.006733,0.006733
68,33698.4,1.0551,0.59728,1.38714,0.74914,0.74946,0.78999,0.5894,1.01619,0.5184,1.44735,0.0066835,0.0066835,0.0066835
69,34191.9,1.05184,0.59413,1.38295,0.74299,0.75301,0.79079,0.58987,1.0158,0.51803,1.44701,0.006634,0.006634,0.006634
70,34684.6,1.05473,0.59456,1.38459,0.73859,0.75533,0.79127,0.59069,1.01549,0.51763,1.44668,0.0065845,0.0065845,0.0065845
71,35177.7,1.04901,0.5928,1.38592,0.73926,0.75535,0.79151,0.59125,1.01522,0.51719,1.44646,0.006535,0.006535,0.006535
72,35670,1.05123,0.59167,1.38926,0.73999,0.75447,0.79208,0.59154,1.0149,0.51656,1.44615,0.0064855,0.0064855,0.0064855
73,36162.4,1.05081,0.58968,1.38268,0.74387,0.75356,0.79245,0.59175,1.01475,0.5159,1.44598,0.006436,0.006436,0.006436
74,36654.8,1.05087,0.58913,1.38563,0.73575,0.7603,0.79276,0.59222,1.01455,0.51539,1.44575,0.0063865,0.0063865,0.0063865
75,37147.1,1.04884,0.58514,1.38134,0.73605,0.76041,0.79305,0.59263,1.01424,0.515,1.4454,0.006337,0.006337,0.006337
76,37639.3,1.04698,0.58301,1.38167,0.73635,0.76216,0.79334,0.59274,1.01409,0.51452,1.44525,0.0062875,0.0062875,0.0062875
77,38131.8,1.04746,0.58361,1.37958,0.73905,0.76102,0.79378,0.59319,1.01382,0.51407,1.44502,0.006238,0.006238,0.006238
78,38624.6,1.04624,0.58433,1.38377,0.73829,0.76214,0.79411,0.59373,1.01364,0.51363,1.4448,0.0061885,0.0061885,0.0061885
79,39117.9,1.04407,0.58214,1.3777,0.73887,0.76245,0.79461,0.59424,1.01332,0.51317,1.44445,0.006139,0.006139,0.006139
80,39610.2,1.04443,0.57964,1.38055,0.74007,0.76187,0.79512,0.59502,1.01304,0.51273,1.44418,0.0060895,0.0060895,0.0060895
81,40102.8,1.04408,0.5793,1.37767,0.74117,0.76281,0.79533,0.59534,1.01274,0.51237,1.44393,0.00604,0.00604,0.00604
82,40596.5,1.04707,0.57884,1.37785,0.74144,0.76249,0.79559,0.59531,1.01253,0.51197,1.44374,0.0059905,0.0059905,0.0059905
83,41090.2,1.03893,0.57759,1.37606,0.74552,0.76054,0.79602,0.59598,1.01234,0.51152,1.44356,0.005941,0.005941,0.005941
84,41585,1.04283,0.5795,1.38061,0.74719,0.75925,0.79644,0.59629,1.01209,0.5111,1.44334,0.0058915,0.0058915,0.0058915
85,42079.5,1.04138,0.57229,1.371,0.74771,0.7603,0.79694,0.5966,1.01188,0.51062,1.44315,0.005842,0.005842,0.005842
86,42573.6,1.03739,0.57056,1.36991,0.74764,0.76317,0.7975,0.59698,1.01163,0.51015,1.44296,0.0057925,0.0057925,0.0057925
87,43068.2,1.0413,0.57381,1.37849,0.74561,0.76638,0.79797,0.59746,1.01135,0.5097,1.4427,0.005743,0.005743,0.005743
88,43562.1,1.04062,0.57007,1.37611,0.74532,0.76777,0.7984,0.59767,1.01111,0.50913,1.44247,0.0056935,0.0056935,0.0056935
89,44055.9,1.03762,0.57199,1.37506,0.74597,0.76795,0.79881,0.59821,1.01081,0.50864,1.44212,0.005644,0.005644,0.005644
90,44549.9,1.03464,0.56709,1.3706,0.74649,0.76881,0.79896,0.59863,1.01061,0.50822,1.44196,0.0055945,0.0055945,0.0055945
91,45044.8,1.03584,0.56703,1.37512,0.7468,0.77055,0.79951,0.59909,1.01035,0.50772,1.44174,0.005545,0.005545,0.005545
92,45538.8,1.03512,0.56692,1.37548,0.74676,0.77207,0.80016,0.59966,1.01004,0.50726,1.44153,0.0054955,0.0054955,0.0054955
93,46032.5,1.03276,0.56211,1.36872,0.74739,0.77199,0.80073,0.60029,1.00987,0.50683,1.4414,0.005446,0.005446,0.005446
94,46526.7,1.03267,0.5647,1.37012,0.7474,0.7719,0.80121,0.60076,1.00965,0.50637,1.44118,0.0053965,0.0053965,0.0053965
95,47021,1.03471,0.56281,1.36902,0.74572,0.77275,0.80163,0.60115,1.00939,0.50593,1.44098,0.005347,0.005347,0.005347
96,47514,1.03001,0.56035,1.36658,0.74569,0.77423,0.80189,0.60145,1.00915,0.50546,1.44072,0.0052975,0.0052975,0.0052975
97,48007.2,1.02679,0.56293,1.3669,0.74622,0.77385,0.80223,0.60182,1.00895,0.50504,1.44056,0.005248,0.005248,0.005248
98,48501.3,1.03032,0.55973,1.364,0.74836,0.77184,0.80249,0.6022,1.00874,0.50458,1.44033,0.0051985,0.0051985,0.0051985
99,48994.7,1.02751,0.56051,1.366,0.74832,0.77055,0.80307,0.60278,1.0086,0.50412,1.44018,0.005149,0.005149,0.005149
100,49488.9,1.02501,0.55631,1.36437,0.74878,0.77261,0.80383,0.60338,1.00846,0.50367,1.44,0.0050995,0.0050995,0.0050995
101,49983.1,1.02639,0.55521,1.36245,0.74857,0.77311,0.80407,0.60375,1.00823,0.50332,1.43979,0.00505,0.00505,0.00505
102,50476.5,1.02549,0.55903,1.36165,0.74622,0.77573,0.80448,0.60428,1.00809,0.50295,1.43962,0.0050005,0.0050005,0.0050005
103,50970.6,1.02468,0.55466,1.36488,0.74473,0.7777,0.80476,0.60451,1.00792,0.50255,1.43942,0.004951,0.004951,0.004951
104,51464.1,1.0218,0.55301,1.36377,0.74698,0.77613,0.80525,0.60486,1.00776,0.50214,1.43928,0.0049015,0.0049015,0.0049015
105,51958.4,1.02299,0.55009,1.36245,0.74754,0.77633,0.80572,0.60504,1.00756,0.50177,1.43909,0.004852,0.004852,0.004852
106,52453.3,1.0204,0.55049,1.35731,0.74649,0.7788,0.80631,0.60555,1.00733,0.50131,1.43884,0.0048025,0.0048025,0.0048025
107,52948,1.02284,0.5517,1.35688,0.74622,0.77851,0.80678,0.60572,1.00713,0.50085,1.43859,0.004753,0.004753,0.004753
108,53441.2,1.01879,0.54813,1.3586,0.74636,0.77926,0.80742,0.60607,1.00691,0.50038,1.43837,0.0047035,0.0047035,0.0047035
109,53935.9,1.01723,0.54893,1.35871,0.74673,0.78085,0.80778,0.60631,1.00674,0.49996,1.43817,0.004654,0.004654,0.004654
110,54430.2,1.02003,0.54871,1.35821,0.7469,0.78182,0.8082,0.60676,1.00657,0.49955,1.43797,0.0046045,0.0046045,0.0046045
111,54924.1,1.01659,0.54312,1.35704,0.74856,0.7815,0.80896,0.60723,1.00629,0.49906,1.43771,0.004555,0.004555,0.004555
112,55417.3,1.01451,0.5447,1.3559,0.74967,0.78003,0.80931,0.60739,1.00612,0.49869,1.43753,0.0045055,0.0045055,0.0045055
113,55911,1.01933,0.54656,1.36038,0.74953,0.78104,0.8097,0.60771,1.00593,0.49833,1.43729,0.004456,0.004456,0.004456
114,56405.2,1.01282,0.54062,1.35074,0.75057,0.78119,0.81002,0.60818,1.00574,0.49799,1.43711,0.0044065,0.0044065,0.0044065
115,56898.4,1.01483,0.54002,1.35357,0.75163,0.77952,0.81029,0.60829,1.00554,0.49769,1.43693,0.004357,0.004357,0.004357
116,57391.8,1.01183,0.54252,1.35157,0.75479,0.77652,0.81071,0.60858,1.00529,0.49735,1.43671,0.0043075,0.0043075,0.0043075
117,57885.5,1.01323,0.53882,1.35269,0.75452,0.77654,0.81109,0.60891,1.00507,0.49695,1.4365,0.004258,0.004258,0.004258
118,58379.2,1.01112,0.54119,1.35492,0.75554,0.77687,0.81154,0.60933,1.00488,0.49656,1.43635,0.0042085,0.0042085,0.0042085
119,58873.8,1.01202,0.53879,1.35158,0.75552,0.7766,0.81196,0.60977,1.00466,0.49613,1.43615,0.004159,0.004159,0.004159
120,59366.6,1.01349,0.54,1.35128,0.75655,0.77666,0.81244,0.61012,1.0044,0.49575,1.43592,0.0041095,0.0041095,0.0041095
121,59861.2,1.01115,0.53662,1.3498,0.75844,0.77652,0.81267,0.6103,1.00417,0.49534,1.43566,0.00406,0.00406,0.00406
122,60355.5,1.00926,0.53744,1.35281,0.75898,0.77645,0.81284,0.61039,1.00389,0.495,1.43535,0.0040105,0.0040105,0.0040105
123,60849.4,1.0043,0.53233,1.35054,0.76039,0.7758,0.8132,0.61052,1.00367,0.4946,1.43512,0.003961,0.003961,0.003961
124,61343.6,1.00408,0.53284,1.34682,0.7598,0.77617,0.81356,0.61072,1.00342,0.49428,1.43484,0.0039115,0.0039115,0.0039115
125,61837.7,1.00506,0.53457,1.34864,0.76095,0.77567,0.81385,0.61102,1.00322,0.49383,1.43463,0.003862,0.003862,0.003862
126,62332,1.0041,0.52996,1.34289,0.76426,0.77353,0.81429,0.61156,1.00303,0.49344,1.43443,0.0038125,0.0038125,0.0038125
127,62825.7,1.0055,0.53238,1.3537,0.76473,0.77239,0.8146,0.61187,1.0028,0.49304,1.43419,0.003763,0.003763,0.003763
128,63320.1,1.00472,0.52998,1.34751,0.76536,0.77173,0.81495,0.61204,1.0025,0.49261,1.43386,0.0037135,0.0037135,0.0037135
129,63814.8,1.00148,0.52802,1.34615,0.76287,0.7758,0.8153,0.61246,1.00227,0.49208,1.43364,0.003664,0.003664,0.003664
130,64308.6,1.00563,0.5276,1.34441,0.76375,0.77525,0.81547,0.61271,1.00206,0.49167,1.43349,0.0036145,0.0036145,0.0036145
131,64802,1.00314,0.52496,1.34401,0.763,0.77622,0.81591,0.61314,1.00185,0.49118,1.43333,0.003565,0.003565,0.003565
132,65297,1.00354,0.5267,1.34808,0.76321,0.77665,0.81617,0.61358,1.00162,0.4907,1.43315,0.0035155,0.0035155,0.0035155
133,65791.5,0.99687,0.52104,1.3414,0.76428,0.77499,0.8165,0.61384,1.00139,0.49023,1.43296,0.003466,0.003466,0.003466
134,66285.4,0.99996,0.52518,1.34197,0.76533,0.77491,0.81673,0.61406,1.00115,0.4898,1.43274,0.0034165,0.0034165,0.0034165
135,66779.1,0.99548,0.5175,1.33856,0.7666,0.77419,0.81724,0.61467,1.00095,0.48936,1.43253,0.003367,0.003367,0.003367
136,67273.7,0.99893,0.52435,1.34242,0.76575,0.77439,0.81768,0.61536,1.00075,0.4889,1.43236,0.0033175,0.0033175,0.0033175
137,67767.8,0.99669,0.52019,1.3358,0.76866,0.77415,0.81829,0.61599,1.00054,0.48848,1.43212,0.003268,0.003268,0.003268
138,68261.7,0.99587,0.51916,1.3386,0.76924,0.77366,0.81865,0.61646,1.00034,0.48808,1.43187,0.0032185,0.0032185,0.0032185
139,68755.3,0.99567,0.51859,1.33881,0.76767,0.77507,0.81899,0.61686,1.00009,0.48772,1.43165,0.003169,0.003169,0.003169
140,69249.5,0.99633,0.51866,1.33902,0.76703,0.77575,0.81946,0.61742,0.99988,0.48737,1.43144,0.0031195,0.0031195,0.0031195
141,69743.1,0.99742,0.5196,1.33753,0.76969,0.77474,0.82007,0.6178,0.99964,0.48703,1.43121,0.00307,0.00307,0.00307
142,70236.9,0.99488,0.516,1.33467,0.76838,0.77585,0.82081,0.61833,0.99938,0.48664,1.43094,0.0030205,0.0030205,0.0030205
143,70731.2,0.99099,0.51257,1.33617,0.77007,0.77495,0.82115,0.61856,0.99916,0.48631,1.4307,0.002971,0.002971,0.002971
144,71224.9,0.99027,0.51248,1.33389,0.76608,0.78092,0.82139,0.61885,0.99894,0.48599,1.43047,0.0029215,0.0029215,0.0029215
145,71720.8,0.99098,0.51274,1.33303,0.76698,0.77966,0.82195,0.61962,0.99869,0.48567,1.4302,0.002872,0.002872,0.002872
146,72216.8,0.98821,0.51154,1.33293,0.76787,0.77926,0.82223,0.61981,0.99847,0.4854,1.42995,0.0028225,0.0028225,0.0028225
147,72712.3,0.99239,0.51299,1.33388,0.7686,0.78148,0.82267,0.6202,0.99829,0.48512,1.42976,0.002773,0.002773,0.002773
148,73207.9,0.98895,0.51253,1.33249,0.76969,0.77892,0.82296,0.62031,0.998,0.48475,1.42945,0.0027235,0.0027235,0.0027235
149,73704.3,0.99114,0.50837,1.33069,0.77083,0.77928,0.82327,0.62053,0.99776,0.48439,1.42919,0.002674,0.002674,0.002674
150,74199.2,0.98689,0.50778,1.32448,0.7715,0.77846,0.82358,0.62116,0.99752,0.48395,1.42896,0.0026245,0.0026245,0.0026245
151,74694.6,0.98485,0.50626,1.33181,0.77233,0.7803,0.82385,0.62134,0.99727,0.48363,1.4287,0.002575,0.002575,0.002575
152,75188.9,0.98749,0.50519,1.32948,0.7722,0.78029,0.82438,0.62188,0.99696,0.48331,1.42841,0.0025255,0.0025255,0.0025255
153,75683.9,0.9844,0.50383,1.33238,0.77213,0.78092,0.82468,0.62198,0.99676,0.48297,1.42817,0.002476,0.002476,0.002476
154,76179.3,0.98353,0.50399,1.33071,0.77288,0.78008,0.82505,0.62227,0.99652,0.48268,1.42795,0.0024265,0.0024265,0.0024265
155,76675.1,0.98173,0.50481,1.33324,0.77719,0.77485,0.82542,0.62269,0.99626,0.48229,1.42771,0.002377,0.002377,0.002377
156,77171.4,0.98112,0.49905,1.32879,0.77724,0.77645,0.82568,0.62331,0.9961,0.4819,1.42751,0.0023275,0.0023275,0.0023275
