epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12960.5,1.77496,1.23834,1.57913,0.81288,0.81158,0.85632,0.46237,1.67825,0.99345,1.52125,0.0079705,0.0079705,0.0079705
43,13269.1,1.77694,1.23435,1.56776,0.81048,0.81359,0.8614,0.46384,1.67451,0.98781,1.51835,0.007921,0.007921,0.007921
44,13577.3,1.76365,1.21919,1.56229,0.81967,0.81092,0.8635,0.46738,1.67112,0.98274,1.5157,0.0078715,0.0078715,0.0078715
45,13885.9,1.77197,1.21452,1.55678,0.81194,0.81851,0.86519,0.47274,1.66916,0.97991,1.51177,0.007822,0.007822,0.007822
46,14194.1,1.76058,1.20288,1.5593,0.81205,0.82619,0.86761,0.47217,1.67359,0.97301,1.51329,0.0077725,0.0077725,0.0077725
47,14502,1.75864,1.2008,1.54866,0.81065,0.82384,0.86701,0.47234,1.67239,0.96541,1.51164,0.007723,0.007723,0.007723
48,14809.8,1.76257,1.20534,1.5516,0.80793,0.83005,0.86857,0.47489,1.66485,0.96276,1.50599,0.0076735,0.0076735,0.0076735
49,15118.2,1.75518,1.19219,1.55165,0.81622,0.82794,0.87177,0.47765,1.65919,0.95781,1.50348,0.007624,0.007624,0.007624
50,15426.3,1.7482,1.18065,1.54534,0.81993,0.82703,0.87314,0.48026,1.66122,0.95325,1.50556,0.0075745,0.0075745,0.0075745
51,15734.8,1.75189,1.18354,1.54617,0.82104,0.82906,0.87492,0.48269,1.65702,0.94931,1.50278,0.007525,0.007525,0.007525
52,16043.1,1.73834,1.17221,1.54127,0.82567,0.8332,0.8774,0.48423,1.65236,0.94325,1.49881,0.0074755,0.0074755,0.0074755
53,16351.7,1.74734,1.17034,1.53898,0.82411,0.83476,0.87758,0.48521,1.65119,0.94443,1.49702,0.007426,0.007426,0.007426
54,16660,1.73784,1.16315,1.53708,0.82216,0.83866,0.87959,0.48781,1.64886,0.94224,1.49433,0.0073765,0.0073765,0.0073765
55,16968.2,1.73438,1.15852,1.53742,0.82801,0.83904,0.8811,0.48888,1.64412,0.93861,1.49106,0.007327,0.007327,0.007327
56,17276.8,1.73647,1.15672,1.53087,0.82504,0.8386,0.88087,0.48988,1.64283,0.93596,1.48928,0.0072775,0.0072775,0.0072775
57,17585.2,1.73048,1.14804,1.52443,0.82609,0.84075,0.88216,0.4924,1.63973,0.93364,1.48664,0.007228,0.007228,0.007228
58,17893.8,1.73595,1.14728,1.52524,0.83121,0.84089,0.88345,0.49339,1.63813,0.93081,1.48566,0.0071785,0.0071785,0.0071785
59,312.24,1.72258,1.12513,1.52168,0.83066,0.84411,0.88512,0.49476,1.63591,0.92676,1.4838,0.007129,0.007129,0.007129
